NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
NCR-26618,Stage of inspection - Receipt inspection of Bottom section of Hopper B (Shell#1 + skirt shell + Toricone) at IOCL P25 Panipat site    Deviation - During receipt inspection of Bottom section of Hopper B below deviations are found                     1. 1 nos. of platform cleats was found bent.                     2. 4 nos of vent pipes on skirt shell were found damaged.                     3. Additional Welding (not as per drawing) with surface defects observed on base-metal of platform cleat beyond required fillet weld.    Refer attached report & photos for details.,Receipt inspection,Shell,Minor,CAPA by Responsible Department,Yes,As per instruction from PMG / design,Other,"? Platform Cleats  Increase in actual width was not assessed properly. Due to inadequate clearance, cleats foul with trees. Heavy traffic forced driver to move ahead which resulted in collision / bent of cleats. As section jammed in between driver also cut some of the cleats.  ? Vent Pipe  Additional lashing taken from vent pipe was not evaluated for load capacity resulted in damage during transit.",Others,"- Strong feedback given to LSP and LSP gave apology for this incidence.   - In future, any change in dimension shall be assessed properly before execution  - Lashing to be done as per lashing plan only.",Workman,,NULL,,,NULL,,,,,No,RPV,0,#VALUE!,#VALUE!
NCR-26619,Project no:-S020023A  Header No:-H8 R.O.H  Seam No:-CW8093  Iteam no:-3002B  Unacceptable linear indication observed on base metal adjacent to weld seam. after complete welding LPE (L=35mm XW 0.5mm),A1,Other,Major,Closed,No,1) Affected area polishing performed in steps of 0.2mm followed by LPE.   2) LPE of affected area cleared in 2nd step i.e. polishing of 0.4mm    3) Thickness measured after polishing and varying between 12.86-13.88 mm against requirement of 10.8 mm Min. in bend region.,Vendor,"Surface irregularities might have been formed in pipe manufacturing/bending process was generating liner indication, which got removed in 0.4-0.5mm polishing.",Others,"• This is one of the case out of 292 pipes, however if such indication will reveal during bend area LPE at AMNHEC, the further course of action to be decided in consultation with L&T QC/NPC.  • Other all remain pipes are also visually examined, and no such abnormality observed.",Management,Repair (Rectify Partially),No,The rectification proposal of grinding (maintaining minimum thickness) and clearing LPE is acceptable.,"In consultation with Designer & NPCIL-QS, the following actions taken.   - Affected area polished in a step followed by LPE.   - LPE of affected area cleared in 2nd step i.e. polishing of ~ 0.4mm    - Thickness measured after polishing and varying between 12.86-13.88 mm against requirement of 10.8 mm Min. in bend region.",Yes,,,,,No,NU,5000,1065,1256
NCR-26621,"Project No.: S020050A/L  Steam Separator (SA-27) : Sr. No. SA-4/240 & SA-4/250  Drawing No.: NU-SG-0050-27-001A, R1  LTFPS No.: 2702-04 R0, OPN No. 230  Stage: Complete Weld RT of seam no. CW2705/240 & CW2705/250   Requirement: Thickness of base metal: 3.0 mm.   Observations: Thickness reduction observed on part no. 27024/240 &  27024/250 at near weld seam of CW2705.                          1) Part no. 27024/240 (Seam no. CW2705/240 Spot no. 6-7): 2.75 mm (Min).                          2) Part No. 27024/250 (Seam No. CW2705/250 Spot No. 1-2) 2.78 mm (Min).",Completed RT of seam No. CW2705,Assembly,Minor,Closed,No,rejected,Execution,Actual Base metal thk. is 3.1mm & there is only 0.25mm excess allowance available on shell. which was not judge by grinder during merging of excess penetration area which resulted in thk. reduction in local spot,Dimension Control Fabrication,sensitize & awareness session to be conducted for all grinders,Management,Reject,No,Proposal of rejection by responsible department is acceptable.,"The proposed disposition is acceptable. New items shall be identified with Suffix ""R""",NULL,,,,,Yes,VHEW,0,1415,1602
NCR-26623,"Requirement :-full fill all requirements as per codes, Drawing  &ARM  in MTC    Actual:-Below requirement  not full fil in MTC  1.Minimum Thickness need to be report : 1.651 mm as per drawing ,but not mention in MTC.   2 HPT no : HPT-285065 required as per drawing ,but not mention in MTC.   3. After finning temporary was not performed as per ASME sec. VIII Div. 1 UG8(b)(1)    this NCR applicable for S010626 & S010627",,Assembly,Minor,Closed,No,Accept as it is,Vendor,Inadequate technical evaluation / comparison with CRS by mill,Vendor Mistake,Pointwise confirmation / clarification to ARM by finned tube manufacturer prior to order finalisation,Management,Accept as it is,No,Accept as it is,Point closed as per design comments . found satisfactory,NULL,,,,,No,HTE,0.05,1057,1224
NCR-26624,"Requirement: Temporary cleats to be used during Fit-up stage,  1. shall be of same material/equivalent P No.  2. shall be welded with consumables specified in approved WPS.  3. Shall be pre-heated as per approved WPS.      Deviation: During site surveillance below major deviation observed in Piping discipline:  1. Carbon steel cleats are welded with alloy steel (P9) spool during fit-up stage.  2. Carbon Steel Filler ER70S-2 used,   3. Pre-heating is not done before welding cleat.     Drawing No.: CBD-701E-3310-B3G-01  Spool No.: SP02  Field Joint No.: FW09  Welder No.: MR984    Evidence: Refer attached Annexure",During site surveillance,Pipe,Major,CAPA by Responsible Department,Yes,Fit up clit removed & replaced.,Workmanship,? Welding consumable issuance & return system not followed.  ? MOC of piping line not confirmed with drawing before fit-up.,Temporary Attachment,01 Consumables return system to ensure return of filler wire & electrodes on daily basis by site execution & welding engineer.   Ambuj Kumar &  Nilesh Kumar 28.05.24  02 Cleat with different MOC to be stored properly & separately at designated location. Arvind Yadhav 30.05.24  03 Drawings availability at site during fabrication to be ensured. Dhanjit Kumar Immediately  04 TBT to fabrication team on the deviation & necessary corrective & preventive action to avoid repetition of same issues.     Nilesh Kumar 28.05.24,Workman,,NULL,,,NULL,,,,,No,MRU,NULL,#VALUE!,#VALUE!
S010613B-NCR-001,Requirement: Linear indication is not acceptable on weld metal as per Cl.20 of LTHE-RORE-10613512.  Deviation: Approx.30mm length linear indication observed on spot no. 52-53 of Y-ring to Skirt seam (CW1025) during RT examination after PWHT.   Objective evidence: Photos are attached,DURING RT EXMINATION AFTER PWHT,Reactor,Major,Closed,Yes,As per repair plan given by WE.,Other,"There is a possibility of presence of small/minor discontinuity (i.e lack of fusion) in the root layers. Due to it’s small size and orientation, this discontinuity didn’t get captured in Radiography performed before PWHT",Others,"In future, in addition to RT before PWHT , we will add Ultrasonic Testing (A scan) before PWHT for Skirt to Y ring seams having Cr-Mo-V metallurgy to complement RT .",Management,Regrade (Accept Conditionally),Yes,The reported minimum thickness at the ground area is 21.4 mm (reference email attached) is adequate for applicable loading.   Rectification work shall be carried out as per Option-1 of the attached SWRP-S010613B-NCR-26625.     Final mapping after smooth merging of the ground area as per details given in Annexure-2 of SWRP-S010613B-NCR-26625 shall be provided to DCC for performing final Finite element analysis.,"Defect location smoothly merged in line with Annexure-2 of SWRP-S010613B-NCR-26625 after removal of indication. VT, PT, UT and RT examination performed as per Cl.5.2 of Option 1 of SWRP and found satisfactory.",Yes,,,,,No,RPV,NULL,190,428
NCR-26626,Stage : During Receipt Inspection of Piping Spool.    Observation : During receipt inspection following deviation are observed.     1. Pipe Spool (FLO-701E-3301-A1A-03 SP01) & (CBD-701E-3361-B3G-01 SP01) is not manufactured as per drawing based on availability of stenciling & Tag.   2. Painting scheme is not as per piping class for both spool.    Note : Refer attached annexure.,During receipt inspection,Pipe,Major,Review Comments,Yes,1. Identification Tag to be interchange  2. Painting Correction to be carried out as per paint system requirement. Power tooling/Blasting and paint application will be done at site.,Handling,Spool tags were interchanged during material handling and blasting due to loose or broken tag wires and lack of supervision in verifying tags against ISO drawings.,Material Handling,"? Ensuring proper tying of tag with fishing wire (SS) before starting any blasting & painting activity.  ? Spool Number written masking tape will be sticked on inside accessible area of each spool and same shall be removed after painting & stencilling activity.  ? If tag wire found broken or missing, then spool will not be proceeded further until it gets verified against drawing.",Management,,NULL,,,NULL,,,,,No,MRU,NULL,3282,#VALUE!
NCR-26628,"Project: GSFC Revamping Urea Plant II  Equipment: Desorber ( Fabricating at Chem Process Systems Pvt. Ltd.)  Requirement: Shell no. 19 & 21 having one long seam, LS19 & LS 21 respectively.  Deviation: During surveillance it has been observed that shell no. 19 & 21 welding completed with one additional long seam without design approval.  For detail refer attached Annexure.",Spot Check,Shell,Minor,Review Comments,Yes,Accept as it is. Changes to be incorporated in As Built Drawing.,Execution,Lack of planning & insensitivity towards quality compliances.,Others,1. Chem Process to ensure L&T approval prior to any change in Drawing/Document before further processing.    2. SCM will add Penalty in PO if vendor process manufacturing without Drawing Change approval from L&T,Management,,NULL,,,NULL,,,,,No,MRU,0.32,3621,#VALUE!
NCR-26629,Requirements :- Long seam Orientation of LW504/1 AND LW504/2 are 100° and 280° respectively as per Drawing: LTHE-ROEO-41215005 R1  Deviation: Long seam Orientation of LW504/1 AND LW504/2 are 120° and 300° Observed respectively.  Evidence: Please find attached inspection reports.,Inprocess Inspection,Shell,Minor,Closed,No,NA,Execution,#NAME?,Human Error,#NAME?,Management,Accept as it is,No,Long seam orientation of LW504/1 at 120 degree & LW504/2 at 300 degree for project No S041215A is acceptable.  Please refer drawing LTHE-ROEO-41215005_R2 for more details.,Accepted as it is based on Design Acceptance.,NULL,,,,,No,RPV,0,678,862
NCR-26630,"Requirement:  Equipment material & Refractory material damage are not allowed after Refractory dry out process.     Deviation: After refractory dry out process of  Bottom channel flange cover, following deviation observed.  1. Approx. 40mm Liner bulging observed   2. Weld seam broken completely for Nozzle D2, Pipe # Liner Pad weld joint.  3. Refractory material damage observed at inside the liner area (Visible from Weld seam broken area)     Objective Evidence:- Refer attached annexure-1.",Visual Inspection after Refractory dry out,Channel,Minor,Closed,Yes,#NAME?,Execution,"All liners were welded before Refractory Dryout. There was no ventilation for escape of entrapped moisture, this lead to bulging of Liner & Finally crack in Liner weld joint.",Others,"1.Special take care to be taken during Dry-out job.  2.Ventilation to be provided to escape entrapped moisture through liner welding sequence.  3.Wherever possible Liner cover can be welded after dry-out of refractory, Note to be mentioned in drawing for all upcoming similar project.",Management,Repair (Rectify Partially),No,"Proposed rectification acceptable. Follow refractory repair followed by dry out & welding of cover liner.  New liner part no.s  Old 609: New 630  Old 621: New 631  Old 623: New 632    New seam no.s  NP606R, NP630R, NP631R, NP632R, NP633R, NP634R, NP635R.  Follow NDT as per inspection test plan.","Rectification is done as per design comment, inspection carried out result found satisfactory",NULL,,,,,No,HTE,0.5,169,173
